cycle_id,condition,team_member,start_time,end_time,duration_hours,excluded,exclusion_reason,notes
indoor_cycle01,indoor,Sakhiur,2026-07-01 09:00:00,2026-07-04 09:00:00,73,False,,Data collected by Sakhiur.
indoor_cycle02,indoor,Sakhiur,2026-07-04 12:00:00,2026-07-07 13:00:00,74,False,,Data collected by Sakhiur.
indoor_cycle03,indoor,Sakhiur,2026-07-07 16:00:00,2026-07-10 15:00:00,72,False,,Data collected by Sakhiur.
indoor_cycle04,indoor,Sakhiur,2026-07-10 18:00:00,2026-07-13 15:00:00,70,False,,Data collected by Sakhiur.
indoor_cycle05,indoor,Sakhiur,2026-07-13 18:00:00,2026-07-16 17:00:00,72,False,,Data collected by Sakhiur.
outdoor_cycle01,outdoor,Sadia,2026-07-16 20:00:00,2026-07-19 13:00:00,66,False,,Data collected by Sadia.
outdoor_cycle02,outdoor,Sadia,2026-07-19 16:00:00,2026-07-22 08:00:00,65,False,,Data collected by Sadia.
outdoor_cycle03,outdoor,Sadia,2026-07-22 11:00:00,2026-07-25 05:00:00,67,False,,Data collected by Sadia.
outdoor_cycle04,outdoor,Sadia,2026-07-25 08:00:00,2026-07-28 01:00:00,66,False,,Data collected by Sadia.
outdoor_cycle05,outdoor,Sadia,2026-07-28 04:00:00,2026-07-30 20:00:00,65,False,,Data collected by Sadia.
