cycle_id,condition,timestamp,temperature_C,humidity_pct,soil_moisture_pct,moisture_trend,light_lux,hour_of_day,hours_remaining,urgency_class
indoor_cycle01,indoor,2026-07-01 12:00:00,27.65,47.72,85.77,-2.8299999999999983,155.5,12,69.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 13:00:00,26.84,53.37,85.22,-2.1899999999999977,170.5,13,68.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 14:00:00,28.18,52.27,84.69,-1.8900000000000008,186.0,14,67.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 15:00:00,26.73,53.51,83.63,-2.140000000000001,155.3,15,66.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 16:00:00,26.39,53.02,82.17,-3.049999999999997,158.0,16,65.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 17:00:00,26.38,51.71,81.65,-3.039999999999992,176.8,17,64.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 18:00:00,26.13,50.1,80.74,-2.890000000000001,123.4,18,63.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 19:00:00,26.44,55.43,79.98,-2.1899999999999977,147.7,19,62.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 20:00:00,25.11,53.2,78.81,-2.8400000000000034,140.8,20,61.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 21:00:00,26.21,50.59,78.08,-2.6599999999999966,156.5,21,60.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 22:00:00,25.59,56.53,76.95,-3.030000000000001,170.6,22,59.0,Not_Urgent
indoor_cycle01,indoor,2026-07-01 23:00:00,25.5,54.23,75.81,-3.0,156.6,23,58.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 00:00:00,25.71,54.54,75.32,-2.760000000000005,127.9,0,57.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 01:00:00,26.49,58.39,74.16,-2.7900000000000063,148.6,1,56.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 02:00:00,26.22,53.39,72.85,-2.960000000000008,157.2,2,55.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 03:00:00,25.98,58.91,71.76,-3.559999999999988,97.6,3,54.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 04:00:00,26.05,54.25,71.5,-2.6599999999999966,151.8,4,53.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 05:00:00,25.87,55.89,70.81,-2.039999999999992,179.6,5,52.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 06:00:00,25.51,53.75,69.86,-1.9000000000000057,168.3,6,51.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 07:00:00,26.07,55.64,68.69,-2.8100000000000023,162.3,7,50.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 08:00:00,26.33,52.93,68.21,-2.6000000000000085,162.2,8,49.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 09:00:00,27.24,53.88,67.34,-2.519999999999996,178.4,9,48.0,Not_Urgent
indoor_cycle01,indoor,2026-07-02 10:00:00,26.45,51.78,66.62,-2.069999999999993,177.8,10,47.0,Soon
indoor_cycle01,indoor,2026-07-02 11:00:00,27.35,53.6,65.6,-2.6099999999999994,226.4,11,46.0,Soon
indoor_cycle01,indoor,2026-07-02 12:00:00,27.65,52.31,64.63,-2.710000000000008,151.6,12,45.0,Soon
